SECCODE;BUYSELL;TIME;TRADENO;PRICE;VOLUME
USD000UTSTOM;S;100000044294;;69.78;2000
USD000UTSTOM;S;100000061749;;69.59;300000
EUR_RUB__TOM;B;100000073983;;77.02;5000
EUR_RUB__TOM;B;100000079785;;77.20;20000
EUR_RUB__TOM;B;100000082614;;77.21;25000
EUR_RUB__TOM;S;100000083598;;81.50;2000
EUR_RUB__TOM;B;100000085389;;77.80;1000
EUR_RUB__TOM;B;100000088166;;77.95;15000
USD000UTSTOM;B;100000099429;;69.26;125000
USDRUB_SPT;B;100000100002;;69.26;100000
USDRUB_SPT;S;100000100016;;69.61;200000
EUR_RUB__TOM;S;100000101096;;80.00;19000
EUR_RUB__TOM;S;100000106017;;80.00;20000
EUR_RUB__TOM;B;100000108500;;78.01;5000
EUR_RUB__TOM;B;100000116068;;78.43;1000
EUR_RUB__TOM;S;100000118658;;80.00;25000
EUR_RUB__TOM;S;100000126118;;80.00;55000
EUR_RUB__TOM;B;100000133647;;78.43;1000
EUR_RUB__TOM;B;100000143682;;78.85;8000
EUR_RUB__TOM;S;100000146061;;80.00;58000
EUR_RUB__TOM;S;100000148653;;80.00;94000
EUR_RUB__TOM;S;100000150796;;80.00;95000
EUR_RUB__TOM;S;100000151108;;79.90;1000
EUR_RUB__TOM;S;100000168288;;79.90;21000
EUR_RUB__TOM;B;100000192130;;79.02;1000000
EURUSD000TOM;S;100000197901;;1.15;500000
EURUSD000TOM;B;100000200686;;1.14;500000
USDRUB_SPT;S;100000233012;;69.58;100000
USDRUB_SPT;S;100000233453;;69.60;100000
EUR_RUB__TOM;S;100000239816;;79.90;25000
EUR_RUB__TOM;B;100000249924;;79.31;5000
EUR_RUB__TOM;B;100000254839;;79.55;9000
EUR_RUB__TOM;S;100000262415;;79.70;14000
USD000UTSTOM;B;100000272925;;69.28;125000
USDRUB_SPT;B;100000273367;;69.28;100000
USDRUB_SPT;B;100000273805;;69.27;100000
GBPRUB_TOM;B;100000280071;;85.76;8000
GBPRUB_TOM;B;100000284936;;87.60;1000
GBPRUB_TOM;B;100000287437;;87.81;1000
GBPRUB_TOM;S;100000289950;;95.00;14000
GBPRUB_TOM;S;100000292481;;89.50;5000
GLDRUB_TOM;S;100000293959;;2912.00;10
USDRUB_SPT;S;100000333387;;69.58;100000
USDRUB_SPT;S;100000333807;;69.60;100000
USDRUB_SPT;B;100000373826;;69.28;100000
USDRUB_SPT;B;100000374268;;69.27;100000
SLVRUB_TOM;S;100000409752;;34.44;100
SLVRUB_TOM;S;100000416310;;34.22;100
USDRUB_SPT;S;100000434169;;69.58;100000
USDRUB_SPT;S;100000434619;;69.60;100000
USD000UTSTOM;B;100000471289;;69.30;125000
USDRUB_SPT;B;100000473875;;69.30;100000
USDRUB_SPT;B;100000474336;;69.27;100000
EUR_RUB__TOM;B;100000479006;;79.55;16000
EUR_RUB__TOM;B;100000481828;;79.55;23000
SLVRUB_TOM;B;100000517643;;31.00;100
EUR_RUB__TOM;S;100000524044;;79.67;1000
